bookId,first_genre,clean_date,day_of_week,month_name,year,books
168668.Catch_22,Classics,10/11/1961,Friday,November,1961,1
44767458-dune,Science Fiction,28/06/1965,Monday,June,1965,1
149267.The_Stand,Horror,03/10/1978,Tuesday,October,1978,1
76620.Watership_Down,Classics,28/11/1972,Tuesday,November,1972,1
2623.Great_Expectations,Classics,28/07/1961,Friday,July,1961,1
1934.Little_Women,Classics,30/09/1968,Monday,September,1968,1
136251.Harry_Potter_and_the_Deathly_Hallows,Fantasy,21/07/2007,Saturday,July,2007,1
10964.Outlander,Historical Fiction,01/06/1991,Saturday,June,1991,1
10917.My_Sister_s_Keeper,Fiction,06/04/2004,Tuesday,April,2004,1
39988.Matilda,Childrens,01/10/1988,Saturday,October,1988,1
3263607-the-fellowship-of-the-ring,Classics,29/07/1954,Thursday,July,1954,1
17899948-rebecca,Classics,28/08/1938,Sunday,August,1938,1
40961427-1984,Classics,08/06/1949,Wednesday,June,1949,1
52892857-the-color-purple,Classics,28/10/1982,Thursday,October,1982,1
14891.A_Tree_Grows_in_Brooklyn,Classics,18/08/1943,Wednesday,August,1943,1
41817486-a-clockwork-orange,Classics,28/10/1962,Sunday,October,1962,1
6288.The_Road,Fiction,26/09/2006,Tuesday,September,2006,1
4934.The_Brothers_Karamazov,Classics,18/11/1979,Sunday,November,1979,1
252577.Angela_s_Ashes,Nonfiction,05/09/1996,Thursday,September,1996,1
345627.Vampire_Academy,Young Adult,16/08/2007,Thursday,August,2007,1
7244.The_Poisonwood_Bible,Fiction,24/09/1998,Thursday,September,1998,1
119322.The_Golden_Compass,Fantasy,09/07/1995,Sunday,July,1995,1
3836.Don_Quixote,Classics,28/10/2005,Friday,October,2005,1
662.Atlas_Shrugged,Classics,28/10/1957,Monday,October,1957,1
5.Harry_Potter_and_the_Prisoner_of_Azkaban,Fantasy,08/07/1999,Thursday,July,1999,1
2165.The_Old_Man_and_the_Sea,Classics,01/09/1952,Monday,September,1952,1
33648131-the-notebook,Romance,01/10/1996,Tuesday,October,1996,1
99107.Winnie_the_Pooh,Classics,14/10/1926,Thursday,October,1926,1
23919.The_Complete_Stories_and_Poems,Classics,28/10/1949,Friday,October,1949,1
43763.Interview_with_the_Vampire,Horror,12/04/1976,Monday,April,1976,1
4473.A_Prayer_for_Owen_Meany,Fiction,28/03/1989,Tuesday,March,1989,1
153747.Moby_Dick_or_the_Whale,Classics,18/10/1951,Thursday,October,1951,1
4989.The_Red_Tent,Historical Fiction,28/10/1997,Tuesday,October,1997,1
37435.The_Secret_Life_of_Bees,Fiction,08/11/2001,Thursday,November,2001,1
7171637-clockwork-angel,Fantasy,31/08/2010,Tuesday,August,2010,1
16299.And_Then_There_Were_None,Mystery,06/11/1939,Monday,November,1939,1
2187.Middlesex,Fiction,04/09/2002,Wednesday,September,2002,1
117833.The_Master_and_Margarita,Classics,28/10/1967,Saturday,October,1967,1
186074.The_Name_of_the_Wind,Fantasy,27/03/2007,Tuesday,March,2007,1
11588.The_Shining,Horror,28/01/1977,Friday,January,1977,1
24583.The_Adventures_of_Tom_Sawyer,Classics,28/10/1976,Thursday,October,1976,1
113436.Eragon,Fantasy,28/06/2002,Friday,June,2002,1
6310.Charlie_and_the_Chocolate_Factory,Childrens,17/01/1964,Friday,January,1964,1
70401.On_the_Road,Classics,05/09/1957,Thursday,September,1957,1
1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,Fiction,31/07/2003,Thursday,July,2003,1
4948.The_Very_Hungry_Caterpillar,Childrens,03/06/1969,Tuesday,June,1969,1
6900.Tuesdays_with_Morrie,Nonfiction,28/10/1997,Tuesday,October,1997,1
9717.The_Unbearable_Lightness_of_Being,Fiction,28/10/1984,Sunday,October,1984,1
119073.The_Name_of_the_Rose,Fiction,28/10/1980,Tuesday,October,1980,1
10365.Where_the_Red_Fern_Grows,Classics,28/10/1961,Saturday,October,1961,1
15881.Harry_Potter_and_the_Chamber_of_Secrets,Fantasy,02/07/1998,Thursday,July,1998,1
12296.The_Scarlet_Letter,Classics,16/03/1950,Thursday,March,1950,1
168642.In_Cold_Blood,Nonfiction,28/10/1965,Thursday,October,1965,1
36236124-fight-club,Fiction,28/10/1996,Monday,October,1996,1
3431.The_Five_People_You_Meet_in_Heaven,Fiction,01/09/2003,Monday,September,2003,1
6339664-hush-hush,Young Adult,13/10/2009,Tuesday,October,2009,1
233093.The_Cat_in_the_Hat,Childrens,12/03/1957,Tuesday,March,1957,1
7126.The_Count_of_Monte_Cristo,Classics,28/10/1944,Saturday,October,1944,1
256008.Lonesome_Dove,Fiction,28/10/1985,Monday,October,1985,1
343.Perfume,Fiction,28/10/1985,Monday,October,1985,1
38709.Holes,Young Adult,20/08/1998,Thursday,August,1998,1
472331.Watchmen,Graphic Novels,08/09/1987,Tuesday,September,1987,1
830502.It,Horror,15/09/1986,Monday,September,1986,1
4556058-the-last-olympian,Fantasy,05/05/2009,Tuesday,May,2009,1
6656.The_Divine_Comedy,Classics,28/10/2020,Wednesday,October,2020,1
34268.Peter_Pan,Classics,28/10/2011,Friday,October,2011,1
355697.All_Quiet_on_the_Western_Front,Classics,28/10/1929,Monday,October,1929,1
5907.The_Hobbit_or_There_and_Back_Again,Fantasy,21/09/1937,Tuesday,September,1937,1
1423.The_Compleat_Works_of_Wllm_Shkspr,Classics,01/02/1994,Tuesday,February,1994,1
9712.Love_in_the_Time_of_Cholera,Fiction,28/10/1985,Monday,October,1985,1
2802316-shadow-kiss,Young Adult,13/11/2008,Thursday,November,2008,1
11735983-insurgent,Young Adult,01/05/2012,Tuesday,May,2012,1
113946.How_the_Grinch_Stole_Christmas_,Childrens,12/10/1957,Saturday,October,1957,1
13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy,Science Fiction,17/01/1996,Wednesday,January,1996,1
6867.Atonement,Fiction,28/10/2001,Sunday,October,2001,1
92303.The_Importance_of_Being_Earnest,Classics,14/02/1995,Tuesday,February,1995,1
19501.Eat_Pray_Love,Nonfiction,16/02/2006,Thursday,February,2006,1
37415.Their_Eyes_Were_Watching_God,Classics,28/10/1937,Thursday,October,1937,1
236093.The_Wonderful_Wizard_of_Oz,Classics,17/05/2000,Wednesday,May,2000,1
32929.Goodnight_Moon,Childrens,03/09/1947,Wednesday,September,1947,1
7784.The_Lorax,Childrens,28/10/1971,Thursday,October,1971,1
5996153-blood-promise,Young Adult,28/08/2009,Friday,August,2009,1
1078.The_Good_Earth,Classics,02/03/1931,Monday,March,1931,1
4900.Heart_of_Darkness,Classics,28/10/1999,Thursday,October,1999,1
1622.A_Midsummer_Night_s_Dream,Classics,28/10/1995,Saturday,October,1995,1
18335634-clockwork-princess,Fantasy,19/03/2013,Tuesday,March,2013,1
2547.The_Prophet,Poetry,28/10/1923,Sunday,October,1923,1
40605251-the-mists-of-avalon,Fantasy,28/12/1982,Tuesday,December,1982,1
561456.The_Titan_s_Curse,Fantasy,01/01/2007,Monday,January,2007,1
28186.The_Sea_of_Monsters,Fantasy,01/04/2006,Saturday,April,2006,1
7763.The_Joy_Luck_Club,Fiction,28/10/1989,Saturday,October,1989,1
13023.Alice_in_Wonderland,Classics,28/10/1965,Thursday,October,1965,1
1852.The_Call_of_the_Wild,Classics,28/10/2003,Tuesday,October,2003,1
71728.Jonathan_Livingston_Seagull,Fiction,28/10/1970,Wednesday,October,1970,1
2175.Madame_Bovary,Classics,28/10/1957,Monday,October,1957,1
378.The_Phantom_Tollbooth,Fantasy,28/10/1961,Saturday,October,1961,1
40940121-bridge-to-terabithia,Young Adult,21/10/1977,Friday,October,1977,1
7938275-the-hunger-games-trilogy-boxset,Young Adult,28/10/2008,Tuesday,October,2008,1
191139.Oh_the_Places_You_ll_Go_,Childrens,22/01/1990,Monday,January,1990,1
5060378-the-girl-who-played-with-fire,Fiction,09/05/2006,Tuesday,May,2006,1
6186357-the-maze-runner,Young Adult,06/10/2009,Tuesday,October,2009,1
27712.The_Neverending_Story,Fantasy,28/10/1979,Sunday,October,1979,1
295.Treasure_Island,Classics,28/10/1979,Sunday,October,1979,1
10818853-fifty-shades-of-grey,Romance,25/05/2011,Wednesday,May,2011,1
40611463-the-clan-of-the-cave-bear,Historical Fiction,04/05/1980,Sunday,May,1980,1
62291.A_Storm_of_Swords,Fantasy,08/08/2000,Tuesday,August,2000,1
2696.The_Canterbury_Tales,Classics,28/10/2000,Saturday,October,2000,1
7069.The_World_According_to_Garp,Fiction,24/04/1978,Monday,April,1978,1
10799.A_Farewell_to_Arms,Classics,28/10/1929,Monday,October,1929,1
6350972-tote-m-dchen-l-gen-nicht,Young Adult,18/10/2007,Thursday,October,2007,1
37442.Wicked,Fantasy,29/09/1995,Friday,September,1995,1
402093.Sh_gun,Historical Fiction,01/06/1975,Sunday,June,1975,1
4588.Extremely_Loud_Incredibly_Close,Fiction,04/04/2005,Monday,April,2005,1
853510.Murder_on_the_Orient_Express,Mystery,28/10/1934,Sunday,October,1934,1
18116.His_Dark_Materials,Fantasy,28/11/2000,Tuesday,November,2000,1
3008.A_Little_Princess,Classics,28/10/2005,Friday,October,2005,1
375013.Schindler_s_List,Nonfiction,18/10/1982,Monday,October,1982,1
40604658-jurassic-park,Science Fiction,07/11/1990,Wednesday,November,1990,1
6527740-last-sacrifice,Young Adult,07/12/2010,Tuesday,December,2010,1
9361589-the-night-circus,Fantasy,13/09/2011,Tuesday,September,2011,1
6487308-fallen,Young Adult,08/12/2009,Tuesday,December,2009,1
7332.The_Silmarillion,Fantasy,15/09/1977,Thursday,September,1977,1
514811.The_Secret_Magdalene,Historical Fiction,28/10/2005,Friday,October,2005,1
6149.Beloved,Fiction,16/09/1987,Wednesday,September,1987,1
310612.A_Confederacy_of_Dunces,Fiction,01/05/1980,Thursday,May,1980,1
10507293-the-selection,Young Adult,24/04/2012,Tuesday,April,2012,1
144974.The_Velveteen_Rabbit,Childrens,28/10/1922,Saturday,October,1922,1
6148028-catching-fire,Young Adult,01/09/2009,Tuesday,September,2009,1
7736182-the-lost-hero,Fantasy,12/10/2010,Tuesday,October,2010,1
6479259-spirit-bound,Young Adult,18/05/2010,Tuesday,May,2010,1
10025305-clockwork-prince,Fantasy,06/12/2011,Tuesday,December,2011,1
1375.The_Iliad_The_Odyssey,Classics,28/10/2000,Saturday,October,2000,1
17250.The_Crucible,Classics,28/10/1953,Wednesday,October,1953,1
135479.Cat_s_Cradle,Fiction,28/10/1963,Monday,October,1963,1
9777.The_God_of_Small_Things,Fiction,28/10/1997,Tuesday,October,1997,1
5659.The_Wind_in_the_Willows,Classics,28/10/2008,Tuesday,October,2008,1
8130077-the-screwtape-letters,Fiction,28/10/1942,Wednesday,October,1942,1
2865.Girl_with_a_Pearl_Earring,Historical Fiction,28/10/1999,Thursday,October,1999,1
561909.The_Hiding_Place,Nonfiction,01/01/1971,Friday,January,1971,1
30118.A_Light_in_the_Attic,Poetry,07/10/1981,Wednesday,October,1981,1
23807.The_Silence_of_the_Lambs,Horror,28/10/1988,Friday,October,1988,1
6068551-shiver,Young Adult,01/08/2009,Saturday,August,2009,1
24770.Uglies,Young Adult,08/02/2005,Tuesday,February,2005,1
6752378-city-of-fallen-angels,Fantasy,05/04/2011,Tuesday,April,2011,1
4069.Man_s_Search_for_Meaning,Nonfiction,28/10/1946,Monday,October,1946,1
5203.She_s_Come_Undone,Fiction,24/08/1992,Monday,August,1992,1
480204.The_Phantom_of_the_Opera,Classics,23/09/2009,Wednesday,September,2009,1
12691.Marley_and_Me,Nonfiction,18/10/2005,Tuesday,October,2005,1
24337.Ella_Enchanted,Fantasy,25/04/1997,Friday,April,1997,1
11275.The_Wind_Up_Bird_Chronicle,Fiction,12/04/1994,Tuesday,April,1994,1
11566.The_Green_Mile,Horror,01/09/1996,Sunday,September,1996,1
40495148-blindness,Fiction,28/10/1995,Saturday,October,1995,1
10572.A_Clash_of_Kings,Fantasy,16/11/1998,Monday,November,1998,1
40874325-the-shack,Fiction,01/05/2007,Tuesday,May,2007,1
30183.Marked,Young Adult,01/05/2007,Tuesday,May,2007,1
39832183-the-guernsey-literary-and-potato-peel-pie-society,Historical Fiction,29/07/2008,Tuesday,July,2008,1
7745.Fear_and_Loathing_in_Las_Vegas,Fiction,07/07/1971,Wednesday,July,1971,1
9328.The_House_of_the_Spirits,Fiction,02/01/1982,Saturday,January,1982,1
24812.The_Complete_Calvin_and_Hobbes,Graphic Novels,06/09/2005,Tuesday,September,2005,1
546018.Roots,Historical Fiction,17/08/1976,Tuesday,August,1976,1
10614.Misery,Horror,08/06/1987,Monday,June,1987,1
6294.Howl_s_Moving_Castle,Fantasy,28/04/1986,Monday,April,1986,1
350.Stranger_in_a_Strange_Land,Science Fiction,28/07/1961,Friday,July,1961,1
41044096-island-of-the-blue-dolphins,Young Adult,09/09/1960,Friday,September,1960,1
6892870-the-girl-who-kicked-the-hornet-s-nest,Fiction,28/05/2007,Monday,May,2007,1
29044.The_Secret_History,Fiction,28/09/1992,Monday,September,1992,1
32234.White_Oleander,Fiction,28/10/1999,Thursday,October,1999,1
11614718-delirium,Young Adult,01/01/2011,Saturday,January,2011,1
11505797-beautiful-disaster,Romance,26/05/2011,Thursday,May,2011,1
12996.Othello,Classics,28/10/2003,Tuesday,October,2003,1
6442769-paper-towns,Young Adult,16/10/2008,Thursday,October,2008,1
43814.The_Vampire_Lestat,Horror,28/10/1985,Monday,October,1985,1
39280444-speak,Young Adult,22/10/1999,Friday,October,1999,1
12505.The_Idiot,Classics,28/10/1969,Tuesday,October,1969,1
12938.King_Lear,Classics,28/10/2005,Friday,October,2005,1
43545.The_Once_and_Future_King,Fantasy,28/10/1958,Tuesday,October,1958,1
227711.I_Know_This_Much_Is_True,Fiction,14/06/1998,Sunday,June,1998,1
14497.Neverwhere,Fantasy,16/09/1996,Monday,September,1996,1
1845.Into_the_Wild,Nonfiction,28/10/1996,Monday,October,1996,1
28194.Inkheart,Fantasy,23/09/2003,Tuesday,September,2003,1
28881.Lamb,Fiction,01/03/2002,Friday,March,2002,1
30236962-the-historian,Fiction,01/06/2005,Wednesday,June,2005,1
188572.The_Complete_Sherlock_Holmes,Classics,28/10/1927,Friday,October,1927,1
19380.Candide,Classics,03/01/1959,Saturday,January,1959,1
6689.James_and_the_Giant_Peach,Childrens,28/10/1961,Saturday,October,1961,1
2184798.Blood_River,Nonfiction,03/07/2007,Tuesday,July,2007,1
15997.Paradise_Lost,Classics,28/10/1967,Saturday,October,1967,1
32085.All_Creatures_Great_and_Small,Nonfiction,28/10/1972,Saturday,October,1972,1
569564.The_Complete_Works,Classics,28/10/1923,Sunday,October,1923,1
40440.The_Thirteenth_Tale,Fiction,12/09/2006,Tuesday,September,2006,1
29579.Foundation,Science Fiction,28/10/1951,Sunday,October,1951,1
11297.Norwegian_Wood,Fiction,04/09/1987,Friday,September,1987,1
133518.The_Things_They_Carried,Fiction,28/03/1990,Wednesday,March,1990,1
4687.The_Cider_House_Rules,Fiction,10/05/1985,Friday,May,1985,1
39662.Different_Seasons,Horror,27/08/1982,Friday,August,1982,1
4929.Kafka_on_the_Shore,Fiction,28/10/2002,Monday,October,2002,1
93.Heidi,Classics,28/10/1980,Tuesday,October,1980,1
37732.Are_You_There_God_It_s_Me_Margaret,Young Adult,28/10/1970,Wednesday,October,1970,1
8755776-city-of-lost-souls,Fantasy,08/05/2012,Tuesday,May,2012,1
10959.Sophie_s_World,Fiction,05/12/1991,Thursday,December,1991,1
1215032.The_Wise_Man_s_Fear,Fantasy,01/03/2011,Tuesday,March,2011,1
58345.The_Awakening,Classics,28/10/1999,Thursday,October,1999,1
16068905-fangirl,Young Adult,10/09/2013,Tuesday,September,2013,1
228560.Sophie_s_Choice,Fiction,28/10/1979,Sunday,October,1979,1
16735.The_Prince_of_Tides,Fiction,28/10/1986,Tuesday,October,1986,1
6334.Never_Let_Me_Go,Fiction,11/04/2005,Monday,April,2005,1
9520360-the-son-of-neptune,Fantasy,04/10/2011,Tuesday,October,2011,1
301082.Dead_Until_Dark,Fantasy,01/05/2001,Tuesday,May,2001,1
9375.Fried_Green_Tomatoes_at_the_Whistle_Stop_Cafe,Fiction,28/10/1987,Wednesday,October,1987,1
11857408-fifty-shades-darker,Romance,13/09/2011,Tuesday,September,2011,1
9969571-ready-player-one,Science Fiction,16/08/2011,Tuesday,August,2011,1
19089.Middlemarch,Classics,28/10/1971,Thursday,October,1971,1
44186.The_Monster_at_the_End_of_this_Book,Childrens,28/10/1971,Thursday,October,1971,1
17927395-a-court-of-mist-and-fury,Fantasy,03/05/2016,Tuesday,May,2016,1
227443.Bridget_Jones_s_Diary,Fiction,28/10/1996,Monday,October,1996,1
14942.Mrs_Dalloway,Classics,14/05/1925,Thursday,May,1925,1
7260188-mockingjay,Young Adult,24/08/2010,Tuesday,August,2010,1
5113.Franny_and_Zooey,Fiction,28/10/1955,Friday,October,1955,1
122.The_Power_of_One,Fiction,28/10/1989,Saturday,October,1989,1
65605.The_Magician_s_Nephew,Fantasy,28/10/1955,Friday,October,1955,1
16793.Stardust,Fantasy,28/10/1997,Tuesday,October,1997,1
47281.Number_the_Stars,Historical Fiction,24/04/1989,Monday,April,1989,1
36402034-do-androids-dream-of-electric-sheep,Science Fiction,28/01/1968,Sunday,January,1968,1
18710190-allegiant,Young Adult,22/10/2013,Tuesday,October,2013,1
15745753-eleanor-park,Young Adult,12/04/2012,Thursday,April,2012,1
21.A_Short_History_of_Nearly_Everything,Nonfiction,06/05/2003,Tuesday,May,2003,1
17347634-me-before-you,Romance,31/12/2012,Monday,December,2012,1
12127750-the-mark-of-athena,Fantasy,02/10/2012,Tuesday,October,2012,1
3153910-the-art-of-racing-in-the-rain,Fiction,13/05/2008,Tuesday,May,2008,1
7235533-the-way-of-kings,Fantasy,31/08/2010,Tuesday,August,2010,1
4374400-if-i-stay,Young Adult,02/04/2009,Thursday,April,2009,1
3685.Black_Beauty,Classics,24/11/1977,Thursday,November,1977,1
7588.A_Portrait_of_the_Artist_as_a_Young_Man,Classics,28/10/2016,Friday,October,2016,1
7733.Gulliver_s_Travels,Classics,28/10/1926,Thursday,October,1926,1
5826.Bel_Canto,Fiction,22/05/2001,Tuesday,May,2001,1
28676.American_Psycho,Fiction,28/03/1991,Thursday,March,1991,1
5805.V_for_Vendetta,Graphic Novels,28/10/1990,Sunday,October,1990,1
310259.Love_You_Forever,Childrens,01/01/1986,Wednesday,January,1986,1
6327.The_Witches,Fantasy,27/10/1983,Thursday,October,1983,1
2213661.The_Graveyard_Book,Fantasy,30/09/2008,Tuesday,September,2008,1
14905.The_Complete_Novels,Classics,28/01/2013,Monday,January,2013,1
13536860-fifty-shades-freed,Romance,17/04/2012,Tuesday,April,2012,1
10920.Cold_Mountain,Historical Fiction,01/01/1997,Wednesday,January,1997,1
43035.White_Fang,Classics,28/10/2006,Saturday,October,2006,1
52357.Beowulf,Classics,28/10/2000,Saturday,October,2000,1
84981.Tuck_Everlasting,Fantasy,28/10/1975,Tuesday,October,1975,1
68428.The_Final_Empire,Fantasy,17/07/2006,Monday,July,2006,1
6304335-beautiful-creatures,Young Adult,01/12/2009,Tuesday,December,2009,1
16631.Steppenwolf,Fiction,28/10/1927,Friday,October,1927,1
45978.Eldest,Fantasy,23/08/2005,Tuesday,August,2005,1
42899.Dark_Lover,Romance,19/02/2005,Saturday,February,2005,1
46799.Go_Ask_Alice,Young Adult,28/10/1971,Thursday,October,1971,1
228665.The_Eye_of_the_World,Fantasy,15/01/1990,Monday,January,1990,1
391729.The_Tell_Tale_Heart_and_Other_Writings,Classics,28/10/1943,Thursday,October,1943,1
77013.As_I_Lay_Dying,Classics,28/10/1930,Tuesday,October,1930,1
5148.A_Separate_Peace,Classics,28/10/1959,Wednesday,October,1959,1
15195.The_Complete_Maus,Graphic Novels,28/10/1991,Monday,October,1991,1
45032.Mansfield_Park,Classics,01/07/2014,Tuesday,July,2014,1
3985.The_Amazing_Adventures_of_Kavalier_Clay,Fiction,19/09/2000,Tuesday,September,2000,1
2248573.Brisingr,Fantasy,20/09/2008,Saturday,September,2008,1
60748.A_Child_Called_It_,Nonfiction,28/10/1995,Saturday,October,1995,1
22232.Stargirl,Young Adult,13/11/2001,Tuesday,November,2001,1
67896.Tao_Te_Ching,Nonfiction,28/10/2000,Saturday,October,2000,1
5526.Dear_John,Romance,28/10/2006,Saturday,October,2006,1
14836.Midnight_s_Children,Fiction,28/04/1981,Tuesday,April,1981,1
11590._Salem_s_Lot,Horror,17/10/1975,Friday,October,1975,1
76778.The_Martian_Chronicles,Science Fiction,28/10/1949,Friday,October,1949,1
7791997-crescendo,Young Adult,19/10/2010,Tuesday,October,2010,1
11713.The_English_Patient,Fiction,28/09/1992,Monday,September,1992,1
4406.East_of_Eden,Classics,28/10/1952,Tuesday,October,1952,1
49628.Cloud_Atlas,Fiction,28/03/2004,Sunday,March,2004,1
629.Zen_and_the_Art_of_Motorcycle_Maintenance,Fiction,28/04/1974,Sunday,April,1974,1
18007564-the-martian,Science Fiction,27/09/2012,Thursday,September,2012,1
5358.The_Firm,Fiction,28/02/1991,Thursday,February,1991,1
6400090-the-last-song,Romance,08/09/2008,Monday,September,2008,1
17150.My_ntonia,Classics,28/10/2018,Sunday,October,2018,1
10429045-shatter-me,Young Adult,15/11/2011,Tuesday,November,2011,1
18122.The_Amber_Spyglass,Fantasy,10/10/2000,Tuesday,October,2000,1
130440.Doctor_Zhivago,Classics,28/11/1957,Thursday,November,1957,1
30597.The_Hunchback_of_Notre_Dame,Classics,14/01/1931,Wednesday,January,1931,1
15645.Inferno,Classics,28/10/2007,Sunday,October,2007,1
6952.Like_Water_for_Chocolate,Fiction,28/10/1989,Saturday,October,1989,1
31685789-room,Fiction,20/08/2010,Friday,August,2010,1
5364.Dragonfly_in_Amber,Historical Fiction,01/07/1992,Wednesday,July,1992,1
4980.Breakfast_of_Champions,Fiction,12/07/1973,Thursday,July,1973,1
6319.The_BFG,Fantasy,01/11/1982,Monday,November,1982,1
23437156-six-of-crows,Fantasy,29/09/2015,Tuesday,September,2015,1
22463.The_Origin_of_Species,Science,24/11/1959,Tuesday,November,1959,1
5211.A_Fine_Balance,Fiction,28/10/1995,Saturday,October,1995,1
8490112-daughter-of-smoke-bone,Fantasy,27/09/2011,Tuesday,September,2011,1
51496.The_Strange_Case_of_Dr_Jekyll_and_Mr_Hyde,Classics,05/01/1986,Sunday,January,1986,1
8755785-city-of-heavenly-fire,Fantasy,27/05/2014,Tuesday,May,2014,1
3975774-evermore,Young Adult,03/02/2009,Tuesday,February,2009,1
41637836-the-subtle-knife,Fantasy,22/07/1997,Tuesday,July,1997,1
12898.Death_of_a_Salesman,Classics,28/10/1949,Friday,October,1949,1
10644930-11-22-63,Fiction,08/11/2011,Tuesday,November,2011,1
386187.Midnight_in_the_Garden_of_Good_and_Evil,Nonfiction,13/01/1994,Thursday,January,1994,1
12220.A_Streetcar_Named_Desire,Classics,28/10/1947,Tuesday,October,1947,1
6759.Infinite_Jest,Fiction,01/02/1996,Thursday,February,1996,1
28862.The_Prince,Classics,28/10/1932,Friday,October,1932,1
1420.Hamlet,Classics,28/10/2003,Tuesday,October,2003,1
14706.Faust_First_Part,Classics,28/10/2008,Tuesday,October,2008,1
40873273-snow-flower-and-the-secret-fan,Historical Fiction,28/10/2005,Friday,October,2005,1
6936382-anna-and-the-french-kiss,Young Adult,02/12/2010,Thursday,December,2010,1
13497.A_Feast_for_Crows,Fantasy,17/10/2005,Monday,October,2005,1
13152.The_Angel_Experiment,Young Adult,01/04/2005,Friday,April,2005,1
7735333-matched,Young Adult,30/11/2010,Tuesday,November,2010,1
43448.Flowers_in_the_Attic,Fiction,28/10/1979,Sunday,October,1979,1
7354.The_Shipping_News,Fiction,28/10/1993,Thursday,October,1993,1
8664353-unbroken,Nonfiction,16/11/2010,Tuesday,November,2010,1
136116.The_Scarlet_Pimpernel,Classics,28/10/2005,Friday,October,2005,1
15717943-hopeless,Romance,17/12/2012,Monday,December,2012,1
187181.The_Chosen,Fiction,28/10/1966,Friday,October,1966,1
285092.High_Fidelity,Fiction,28/10/1995,Saturday,October,1995,1
18143977-all-the-light-we-cannot-see,Historical Fiction,28/05/2014,Wednesday,May,2014,1
249747.Artemis_Fowl,Fantasy,26/04/2001,Thursday,April,2001,1
